,International faculty members,International students,Total faculty members,Total students,country,detail_page,name,rank,region,original rank
125,482.0,3766,2520.0,35968.0,Belgium,https://www.topuniversities.com/universities/ghent-university,Ghent University,126,Europe,125
126,801.0,6806,1885.0,16135.0,United Kingdom,https://www.topuniversities.com/universities/queen-mary-university-london,Queen Mary University of London,127,Europe,127
127,246.0,1787,2858.0,18660.0,Japan,https://www.topuniversities.com/universities/kyushu-university,Kyushu University,128,Asia,128
128,473.0,4683,3920.0,35504.0,United States,https://www.topuniversities.com/universities/university-maryland-college-park,"University of Maryland, College Park",129,North America,129
129,1037.0,9688,2961.0,39112.0,Canada,https://www.topuniversities.com/universities/universite-de-montreal,Université de Montréal,130,North America,130
130,253.0,4213,2273.0,24305.0,France,https://www.topuniversities.com/universities/universit%C3%A9-pierre-et-marie-curie-upmc,Université Pierre et Marie Curie (UPMC),131,Europe,131
131,551.0,9170,3124.0,38749.0,United States,https://www.topuniversities.com/universities/university-southern-california,University of Southern California,132,North America,132
132,336.0,1465,1077.0,9257.0,Sweden,https://www.topuniversities.com/universities/chalmers-university-technology,Chalmers University of Technology,133,Europe,133
133,267.0,2128,1449.0,23149.0,United States,https://www.topuniversities.com/universities/university-california-santa-barbara-ucsb,"University of California, Santa Barbara (UCSB)",134,North America,134
134,435.0,4464,1245.0,12300.0,United Kingdom,https://www.topuniversities.com/universities/lancaster-university,Lancaster University,135,Europe,135
135,636.0,3364,1833.0,15999.0,United Kingdom,https://www.topuniversities.com/universities/university-york,University of York,136,Europe,135
136,705.0,6090,2755.0,24565.0,United Kingdom,https://www.topuniversities.com/universities/cardiff-university,Cardiff University,137,Europe,137
137,198.0,991,2260.0,27003.0,Chile,https://www.topuniversities.com/universities/pontificia-universidad-cat%C3%B3lica-de-chile-uc,Pontificia Universidad Católica de Chile (UC),138,Latin America,137
138,370.0,1831,1257.0,12147.0,Finland,https://www.topuniversities.com/universities/aalto-university,Aalto University,139,Europe,137
139,1170.0,3548,3231.0,23702.0,Canada,https://www.topuniversities.com/universities/mcmaster-university,McMaster University,140,North America,140
140,449.0,8556,3176.0,44517.0,Germany,https://www.topuniversities.com/universities/rwth-aachen-university,RWTH Aachen University,141,Europe,141
141,572.0,2937,4982.0,26393.0,United States,https://www.topuniversities.com/universities/university-pittsburgh,University of Pittsburgh,142,North America,142
142,711.0,3667,2509.0,24304.0,Norway,https://www.topuniversities.com/universities/university-oslo,University of Oslo,143,Europe,142
